,Product Name,Product Rating,Product Price (discounted),product Price (Original)
0,"APPLE iPhone SE (Black, 64 GB)",4.5,"₹29,999","₹39,900"
1,"APPLE iPhone SE (Black, 256 GB)",4.5,"₹44,999","₹54,900"
2,"APPLE iPhone SE (Red, 256 GB)",4.5,"₹44,999","₹54,900"
3,"APPLE iPhone SE (White, 256 GB)",4.5,"₹44,999","₹54,900"
4,"APPLE iPhone SE (Black, 128 GB)",4.5,"₹34,999","₹44,900"
5,"APPLE iPhone SE (Red, 64 GB)",4.5,"₹29,999","₹39,900"
6,"APPLE iPhone SE (Red, 128 GB)",4.5,"₹34,999","₹44,900"
7,"APPLE iPhone SE (White, 128 GB)",4.5,"₹34,999","₹44,900"
8,"APPLE iPhone SE (White, 64 GB)",4.5,"₹29,999","₹39,900"
9,"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹29,999","₹39,900"
10,"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹29,999","₹39,900"
11,"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)",4.5,"₹44,999","₹54,900"
12,"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹34,999","₹44,900"
13,"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)",4.5,"₹44,999","₹54,900"
14,"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹29,999","₹39,900"
15,"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹34,999","₹44,900"
16,"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",4.5,"₹44,999","₹54,900"
17,"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹34,999","₹44,900"
18,"APPLE iPhone SE (3rd Gen) (Midnight, 64 GB)",4.3,"₹41,900","₹43,900"
19,"APPLE iPhone SE (3rd Gen) (Starlight, 64 GB)",4.3,"₹41,900","₹43,900"
20,"APPLE iPhone SE (3rd Gen) (Product (Red), 64 GB)",4.3,"₹41,900","₹43,900"
21,"APPLE iPhone SE (3rd Gen) (Product (Red), 128 GB)",4.3,"₹46,900","₹48,900"
22,"APPLE iPhone SE (3rd Gen) (Midnight, 128 GB)",4.3,"₹46,900","₹48,900"
23,"APPLE iPhone SE (3rd Gen) (Starlight, 128 GB)",4.3,"₹46,900","₹48,900"
